problem_sha256,applied_params_hash,status,elapsed_ms,num_variables,num_bool,num_int,num_constraints,num_workers,num_conflicts,num_branches,deterministic_time
2370931b8c81ddd151a53b0df69696c2453222fb8710bd50c12646f411267648,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,473.166,1325,878,447,14241,8,187,4573,0.369579
25142c3ac9e62f0301845be186d7838f243977b50106dcdb7b7269608537967d,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,16208.8,5366,3525,1841,64265,8,4652,95995,16.4779
256f7a0f25c2590dd389f9974a8fb93c3d0b1d4b98149a7b04e290b770a21d17,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,7271.21,5298,3673,1625,59077,8,12081,81515,23.7767
26f1613b2617a48822770702a0bbac8cc1c0384a271769c883357b944c5ebe8a,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,182.409,715,461,254,7651,8,0,0,0.0310824
26f53ed6235393586f5beac50e9c02ddb551c8112f394470fa9f3c1764d3c5b0,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,856786,17076,13341,3735,192805,8,218233,1168305,1441.38
27507e95cd8529c2ce7e9fcadb691f9c84506e44508d53f94b13bfaa503d7763,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,45439.7,8588,6402,2186,97536,8,23149,144434,64.4278
27a639ae4f3c7b232b758f7a4b7a8193bbdf2375bc6ad9f0ed832df3259ed18c,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,1373.64,1860,1266,594,20658,8,419,10594,1.17965
2915f65a6cfc4ccf2288beea5e5ebb3d1feee0493a7b8fb1b0bbe6115110f04c,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,10447,7837,5854,1983,85434,8,11186,96516,32.4593
2a397e2e9ffb11e6b1bdd4bd271d454a5d960113f85ee54f45618eca730a98b2,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,4173.09,3243,2301,942,36127,8,843,26130,4.73902
2a3d88962c8df3c83dccaa767c32c47d92ce214b908873271a271a052038d528,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,540.252,1316,869,447,14599,8,183,4384,0.336128
2a6fe0572eb447f61b2b572c3baf70606f1ce4104009bbe1ecf2db6e0554834a,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,5430.81,3313,2177,1136,38711,8,578,29008,4.12991
2abe830de840839cc8700da827e94f67e8231e6dbc5fdba2042dc0a5cfc022ff,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,1961.23,3094,2149,945,33706,8,4561,34650,2.96945
2b23fb6ce337942ebf3b5f99dddf477b2018725b28bccdc7e9a216501a3e1be8,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,89192,10404,7751,2653,121524,8,35393,255576,143.2
2b46c9bcb4db1d88bc5550d8ed871f0057565ff847c85dc046ff6685df86097d,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,6416.71,4058,2932,1126,45101,8,2508,46309,7.0559
2c03def2b6183b004d5bef89a2575278be78259c02e94ea24efac5475d14ed39,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,1809.76,2713,1924,789,30408,8,712,13423,1.76708
2c283b1f086ec33a86a8cf25694b14acb56c62c180fb239dd3813e63d7c3a137,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,1361.71,1864,1266,598,20886,8,964,13872,1.28691
2c48be2530d7932fabd485c4b3ece1fca3639c6cf6d593f0c44e0b8e56601c3b,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,47175.5,11135,8504,2631,126459,8,10043,145482,56.8539
2cf09323b6357707934b8bab13217c744b0633a6bf11f0d7b51b0961f33f9264,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,4828,3104,2156,948,35170,8,844,31973,4.86196
2cff9dca070f35f4b8632474dbe9ed80dff49bec7ad39db8f3dd1046c4d6acb4,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,4467.43,5073,3597,1476,57478,8,2835,59220,8.37719
2d527c24410310a430c63e56560a9f6346660fde96829775a284645f63c86f17,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,695.523,1860,1266,594,20658,8,517,10517,1.0021
2d8643eec9c4c62aeac7390db2bd48954a840858967aad0bbeb00b0424328b76,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,11725.9,5079,3597,1482,57732,8,3735,74766,13.7156
2e8cdd720fcb4ef0bb3bacbef8633ae847d1bca269122e5c51a98e830b9d03bf,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,3120.77,2350,1548,802,27313,8,418,15636,2.72092
2ed7c12aa205b907de5d68f8daaa7fed1802f93aaad89e247b789fffd4c42d33,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,16990.7,7843,5854,1989,85855,8,7633,97024,30.8048
2f5479c6c8eed384098dac360bc532cf1934e9f1efb2b3686c5e03c680ba178d,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,10429,5306,3673,1633,59452,8,7701,75544,16.0411
303a6733c9ec03beaf7942544bf89ce2ecba38c65ae2e6a93e248b36e6b7fc2a,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,3530.81,1850,1257,593,20766,8,379,11971,1.76994
31ef7d4aea2e6b1e902710d43ae9fc51e98680924221e5c4362ef1ef4651eaa3,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,3386.23,4049,2930,1119,45238,8,4770,51971,7.21038
321b859ee1b2e3f9874968cf86a89765dcc94f1daa4f4081f8ad231b50911dd7,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,3472.19,3520,2381,1139,40984,8,3904,96041,7.69355
327885af89164e64baa11fb9e8e4b9af8e7ab53c427d41ad23c216f3877453d6,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,694.654,1325,878,447,14805,8,212,4812,0.646128
3368a03f50cb20d1ca1ec5365507aa3096295da9a97f1688543cb9200aa911c0,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,14676,8588,6402,2186,94632,8,6765,85872,24.7064
33aca880c9efd51e3b11c9b865a5d96e10f7bf573ab2b76d1f56c929dad9b12b,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,13176.2,5079,3597,1482,57732,8,6925,81417,15.7646
34d64d3b3f09c059453e8a7eb2aa2d691cce300d5dbc94e1dd4bae24698c6a06,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,715.521,1762,1167,595,19934,8,256,10329,0.84016
36c5b829921f254af40d517a9f1455da914471d2a17d7e9286d869735e1f7646,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,3964.82,5073,3597,1476,57478,8,2828,58028,8.34405
3707720aa7119866f34152927dba916a89b9b4980bc74daf4a4ce04c7c83a74e,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,23136.9,7843,5854,1989,88415,8,10910,107959,29.2903
379dc9168e43d8e9d0b62890fa2e276bb4107c588e6360ee40d3c7cdfb1de6f1,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,6175.92,5114,3610,1504,58789,8,1634,41974,7.64516
37f84b16de74e01a63c4bdcf999c82d18ebf6d0e03406bd9ee65adb21ae54b71,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,2603.74,2734,1941,793,30392,8,675,16106,1.93163
38b4c712ec417b25f8c1fd58752402dfff72d8f346edac6d35c10d02d216bcd4,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,3772.51,3104,2156,948,35226,8,751,29001,3.78127
38e83ff258692eadb3c637027ef94f7c4f1ff1790c584444cba3c4f450281b9d,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,52982,11127,8496,2631,135485,8,12391,168556,65.4763
3921ba5449869b9fca2c8b7808e99e3816492dbfbe55f3956019cbea156ed88d,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,6438.96,5112,3610,1502,58744,8,4341,60532,8.15447
395b9abdb72014e256f558ea722b7df71fedf88a40e4bf0f70b34ed75d3e7ce1,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,1394.5,2707,1924,783,30064,8,788,15786,2.14286
39ad61e32e7f3ecfed4123371232df4c15298efd0c20d9d3dd956c69d772db27,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,3002.76,3239,2301,938,35861,8,973,27904,5.14887
3b522f278d5967449cb3fc8dcdcf198cc3ecd7bd5f5c03cec433b4bb332433c0,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,2334.59,3235,2300,935,36199,8,1276,30370,4.11721
3cbde998e188f4dfded4b435da864ce8b877c66367a6160132a29208b67f19e3,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,8571.61,5109,3610,1499,58459,8,3506,52995,8.33814
3cf489848cf21fe1a27e0cdecd87845ba3e67495375dc33d4fc861f33c6039f6,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,273.786,1236,794,442,13896,8,109,4450,0.275355
